bin_id,load
0,1
1,4
2,2
3,3
4,1
5,0
6,1
7,2
8,2
9,5
10,2
11,2
12,0
13,5
14,5
15,2
16,5
17,3
18,1
19,0
20,0
21,2
22,5
23,2
24,1
25,4
26,0
27,1
28,1
29,0
30,4
31,3
32,1
33,2
34,3
35,3
36,1
37,2
38,1
39,1
40,4
41,2
42,0
43,1
44,1
45,1
46,3
47,2
48,2
49,2
50,1
51,2
52,3
53,4
54,3
55,4
56,2
57,3
58,2
59,1
60,1
61,2
62,2
63,3
64,3
65,5
66,2
67,3
68,0
69,1
70,3
71,3
72,4
73,2
74,0
75,3
76,0
77,5
78,2
79,0
80,1
81,0
82,3
83,1
84,1
85,3
86,2
87,1
88,2
89,2
90,3
91,1
92,1
93,2
94,4
95,2
96,3
97,1
98,1
99,1
100,3
101,3
102,2
103,2
104,0
105,4
106,1
107,0
108,1
109,5
110,0
111,3
112,2
113,2
114,4
115,3
116,2
117,3
118,3
119,1
120,0
121,1
122,1
123,1
124,2
125,1
126,2
127,2
128,2
129,1
130,1
131,1
132,0
133,5
134,5
135,2
136,2
137,3
138,0
139,5
140,3
141,2
142,1
143,3
144,3
145,2
146,2
147,2
148,1
149,3
150,0
151,1
152,1
153,4
154,2
155,0
156,2
157,3
158,2
159,2
160,1
161,3
162,2
163,1
164,4
165,4
166,1
167,4
168,2
169,0
170,2
171,3
172,2
173,1
174,0
175,1
176,3
177,7
178,2
179,5
180,1
181,2
182,3
183,0
184,2
185,0
186,5
187,0
188,3
189,0
190,1
191,3
192,0
193,0
194,1
195,3
196,1
197,0
198,2
199,0
200,1
201,3
202,1
203,3
204,3
205,4
206,6
207,3
208,1
209,1
210,0
211,2
212,1
213,3
214,6
215,1
216,2
217,1
218,3
219,3
220,2
221,1
222,0
223,2
224,2
225,2
226,0
227,4
228,3
229,2
230,1
231,4
232,5
233,1
234,3
235,1
236,2
237,1
238,5
239,2
240,1
241,3
242,3
243,1
244,1
245,3
246,1
247,1
248,2
249,1
250,3
251,1
252,3
253,1
254,1
255,4
256,0
257,3
258,3
259,3
260,2
261,1
262,2
263,3
264,0
265,1
266,1
267,7
268,2
269,2
270,0
271,1
272,1
273,0
274,2
275,0
276,3
277,0
278,1
279,3
280,3
281,4
282,3
283,1
284,4
285,2
286,3
287,5
288,3
289,3
290,3
291,3
292,3
293,2
294,2
295,2
296,1
297,0
298,0
299,0
300,3
301,2
302,3
303,4
304,4
305,2
306,6
307,3
308,2
309,4
310,0
311,2
312,2
313,2
314,7
315,0
316,2
317,2
318,2
319,1
320,0
321,3
322,2
323,2
324,4
325,3
326,2
327,1
328,2
329,1
330,5
331,2
332,3
333,3
334,4
335,1
336,2
337,0
338,0
339,1
340,0
341,1
342,6
343,4
344,0
345,3
346,5
347,2
