bin_id,load
0,1
1,1
2,1
3,2
4,1
5,2
6,1
7,2
8,1
9,1
10,2
11,2
12,1
13,3
14,1
15,3
16,5
17,1
18,1
19,4
20,3
21,1
22,3
23,3
24,0
25,1
26,0
27,3
28,6
29,1
30,1
31,2
32,1
33,2
34,2
35,2
36,1
37,5
38,1
39,3
40,0
41,3
42,2
43,1
44,2
45,3
46,3
47,4
48,4
49,1
50,0
51,4
52,2
53,2
54,4
55,4
56,1
57,3
58,2
59,1
60,1
61,3
62,3
63,0
64,1
65,1
66,2
67,1
68,1
69,2
70,1
71,4
72,0
73,2
74,1
75,2
76,3
77,1
78,2
79,1
80,4
81,1
82,3
83,3
84,1
85,1
86,1
87,3
88,4
89,1
90,1
91,0
92,2
93,1
94,2
95,2
96,4
97,0
98,2
99,5
100,1
101,1
102,0
103,1
104,1
105,4
106,3
107,0
108,3
109,3
110,5
111,2
112,0
113,0
114,2
115,1
116,3
117,4
118,4
119,1
120,2
121,0
122,3
123,1
124,2
125,0
126,2
127,4
128,1
129,3
130,4
131,0
132,1
133,1
134,4
135,2
136,0
137,6
138,1
139,1
140,4
141,5
142,3
143,3
144,4
145,2
146,1
147,0
148,1
149,5
150,1
151,1
152,0
153,2
154,1
155,1
156,3
157,1
158,4
159,1
160,2
161,4
162,2
163,2
164,2
165,1
166,2
167,6
168,2
169,0
170,2
171,5
172,3
173,2
174,1
175,0
176,2
177,1
178,1
179,2
180,2
181,3
182,3
183,3
184,3
185,3
186,4
187,3
188,0
189,1
190,3
191,0
192,1
193,2
194,6
195,2
196,1
197,3
198,4
199,1
200,1
201,2
202,1
203,3
204,1
205,3
206,3
207,1
208,3
209,0
210,3
211,2
212,1
213,2
214,2
215,3
216,1
217,1
218,1
219,3
220,0
221,4
222,3
223,1
224,2
225,2
226,3
227,3
228,0
229,0
230,3
231,1
232,3
233,1
234,2
235,3
236,2
237,1
238,0
239,2
240,1
241,2
242,2
243,2
244,2
245,2
246,6
247,0
248,0
249,2
250,2
251,0
252,3
253,5
254,5
255,1
256,1
257,3
258,0
259,4
260,4
261,4
262,4
263,0
264,1
265,1
266,2
267,3
268,1
269,2
270,1
271,1
272,1
273,1
274,2
275,2
276,0
277,2
278,1
279,3
280,4
281,2
282,1
283,3
284,3
285,4
286,2
287,2
288,3
289,0
290,1
291,3
292,1
293,2
294,1
295,0
296,3
297,4
298,4
299,3
300,3
301,2
302,1
303,5
304,3
305,2
306,2
307,0
308,5
309,3
310,2
311,2
312,2
313,2
314,2
315,3
316,0
317,5
318,1
319,1
320,0
321,0
322,2
323,3
324,1
325,2
326,0
327,1
328,1
329,0
330,4
331,4
332,0
333,0
334,0
335,0
336,0
337,1
338,2
339,3
340,2
341,2
342,1
343,3
344,1
345,4
346,1
347,1
348,1
349,2
350,2
351,2
352,4
353,0
354,2
355,3
356,1
357,2
358,0
359,3
360,4
361,4
362,1
363,1
364,1
365,4
366,3
367,2
368,1
369,3
370,3
371,0
372,0
373,2
374,3
375,3
376,2
377,4
378,0
379,1
380,1
381,1
382,4
383,0
384,1
385,3
386,3
387,2
388,4
389,1
390,1
391,2
392,1
393,3
394,2
395,1
396,4
397,2
398,2
399,1
400,5
401,3
402,2
403,0
404,0
405,2
406,2
407,2
408,0
409,1
410,3
411,1
412,0
413,4
414,2
415,1
416,3
417,0
418,3
419,3
420,2
421,0
422,1
423,1
424,3
425,0
426,3
427,0
428,3
429,3
430,0
431,1
432,1
433,1
434,4
435,1
436,2
437,1
438,3
439,1
440,1
441,2
442,1
443,3
444,2
445,3
446,2
447,0
448,3
449,2
450,1
451,3
452,1
453,2
454,2
455,2
456,3
457,1
458,4
459,1
460,4
461,1
462,0
463,3
464,2
465,1
466,3
467,2
468,2
469,1
470,3
471,0
472,1
473,3
474,2
475,1
476,4
477,0
478,4
479,2
480,3
481,3
482,2
483,1
484,1
485,2
486,3
487,1
488,1
489,4
490,5
491,2
492,3
493,3
494,1
495,0
496,1
497,1
498,2
499,2
500,2
501,1
502,1
503,1
504,5
505,3
506,3
507,0
508,3
509,3
510,5
511,0
512,1
513,2
514,2
515,0
516,1
517,2
518,4
519,2
520,1
521,1
522,1
523,1
524,3
525,4
526,1
527,3
528,0
529,1
530,4
531,1
532,1
533,3
534,0
535,3
536,1
537,2
538,3
539,3
540,2
541,1
542,2
543,1
544,5
545,2
546,3
547,3
548,2
549,2
550,2
551,3
552,3
553,0
554,1
555,1
556,2
557,0
558,3
559,1
560,0
561,0
562,2
563,1
564,4
565,0
566,2
567,1
568,1
569,2
570,1
571,1
572,2
573,0
574,2
575,0
576,3
577,2
578,1
579,2
580,2
581,2
582,4
583,0
584,1
585,1
586,1
587,2
588,2
589,0
590,4
591,1
592,2
593,2
594,0
595,1
596,4
597,2
598,2
599,1
600,0
601,2
602,2
603,2
604,1
605,6
606,0
607,4
608,2
609,4
610,4
611,0
612,2
613,3
614,3
615,1
616,0
617,1
618,2
619,0
620,2
621,1
622,4
623,1
624,2
625,3
626,3
627,3
628,2
629,2
630,1
631,3
632,1
633,1
634,1
635,4
636,3
637,1
638,3
639,1
640,4
641,3
642,3
643,2
644,1
645,1
646,1
647,3
648,1
649,1
650,2
651,3
652,1
653,4
654,3
655,1
656,4
657,1
658,0
659,0
660,0
661,1
662,4
663,5
664,4
665,3
666,0
667,1
668,3
669,0
670,1
671,2
672,4
673,2
674,2
675,0
676,1
677,0
678,4
679,1
680,3
681,3
682,2
683,5
684,2
685,3
686,0
687,6
688,2
689,4
690,2
691,6
692,5
693,1
694,1
695,1
696,3
697,2
698,2
699,0
700,3
701,1
702,2
703,0
704,5
705,2
706,3
707,1
708,2
709,2
710,1
711,3
712,0
713,2
714,4
715,2
716,1
717,3
718,3
719,1
720,1
721,1
722,1
723,3
724,6
725,2
726,3
727,2
728,3
729,1
730,4
731,3
732,1
733,3
734,2
735,3
736,3
737,6
738,1
739,4
740,3
741,7
742,1
743,2
744,1
745,3
746,0
747,1
748,1
749,3
750,1
751,2
752,5
753,2
754,3
755,3
756,0
757,3
758,0
759,4
760,0
761,3
762,0
763,2
764,1
765,4
766,2
767,2
768,0
769,4
770,1
771,3
772,2
773,0
774,2
775,0
776,3
777,4
778,1
779,3
780,0
781,2
782,3
783,1
784,1
785,5
786,1
787,1
788,1
789,2
790,2
791,4
792,0
793,3
794,2
795,3
796,2
797,2
798,0
799,1
800,5
801,1
802,6
803,3
804,2
805,0
806,1
807,3
808,2
809,1
810,2
811,1
